release_number,release_title,track_number,track_title,artist,lyrics_status
"1","Adoracion","1","Adoracion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"2","Agua","1","Agua","Iyari Gomez","Letras sin formato Letras sincronizadas"
"3","Ahmed Qalbi","1","Ahmed Qalbi","Iyari Gomez","Letras sin formato Letras sincronizadas"
"4","Alex Suarez","1","Alex","Iyari Gomez","Letras sin formato Letras sincronizadas"
"4","Alex Suarez","2","Suarez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"5","Alma Eterna","1","Alma Eterna","Iyari Gomez","Letras sin formato Letras sincronizadas"
"6","ALV","1","ALV","Iyari Gomez","Letras sin formato Letras sincronizadas"
"7","America","1","America","Iyari Gomez","Letras sin formato Letras sincronizadas"
"8","America","1","Sonrisa","Iyari Gomez","Letras sin formato Letras sincronizadas"
"8","America","2","Regresar","Iyari Gomez","Letras sin formato Letras sincronizadas"
"9","Amor","1","Amor","Iyari Gomez","Letras sin formato Letras sincronizadas"
"10","Amor Fugaz","1","Amor Fugaz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"11","Amor Live","1","Amor Live","Iyari Gomez","Letras sin formato Letras sincronizadas"
"12","Amor que no se explica","1","Amor que no se explica","Iyari Gomez","Letras sin formato Letras sincronizadas"
"13","Ancestral","1","Ancestral","Iyari Gomez","Letras sin formato Letras sincronizadas"
"14","Andrey","1","Andrey","Iyari Gomez","Letras sin formato Letras sincronizadas"
"15","Anel Cruz","1","Anel","Iyari Gomez","Letras sin formato Letras sincronizadas"
"15","Anel Cruz","2","Cruz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"16","Angel Torres","1","Nombre en la Piel","Iyari Gomez","Letras sin formato Letras sincronizadas"
"16","Angel Torres","2","Destino Fiel","Iyari Gomez","Letras sin formato Letras sincronizadas"
"17","Angie Ibarra","1","Angie","Iyari Gomez","Letras sin formato Letras sincronizadas"
"17","Angie Ibarra","2","Ibarra","Iyari Gomez","Letras sin formato Letras sincronizadas"
"18","Animal Circus","1","Animal Circus","Iyari Gomez","Letras sin formato Letras sincronizadas"
"19","Anna Cortes","1","Anna Cortes","Iyari Gomez","Letras sin formato Letras sincronizadas"
"20","Araceli","1","No es Casualidad","Iyari Gomez","Letras sin formato Letras sincronizadas"
"20","Araceli","2","Aracelii","Iyari Gomez","Letras sin formato Letras sincronizadas"
"21","Aranza Ibañez","1","Aranza","Iyari Gomez","Letras sin formato Letras sincronizadas"
"21","Aranza Ibañez","2","Ibañez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"22","AriaNear","1","Near","Iyari Gomez","Letras sin formato Letras sincronizadas"
"22","AriaNear","2","Aria","Iyari Gomez","Letras sin formato Letras sincronizadas"
"23","Azareel Light of the Nilo","1","Azareel Light of the Nile","Iyari Gomez","Letras sin formato Letras sincronizadas"
"23","Azareel Light of the Nilo","2","Azareel","Iyari Gomez","Letras sin formato Letras sincronizadas"
"23","Azareel Light of the Nilo","3","Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"23","Azareel Light of the Nilo","4","Azareel del Nilo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"24","Bailame Lento","1","Bailame","Iyari Gomez","Letras sin formato Letras sincronizadas"
"24","Bailame Lento","2","Lento","Iyari Gomez","Letras sin formato Letras sincronizadas"
"25","Belari Filobello","1","The Only Word I Need","Iyari Gomez","Letras sin formato Letras sincronizadas"
"25","Belari Filobello","2","The only","Iyari Gomez","Letras sin formato Letras sincronizadas"
"26","Belen","1","Belen","Iyari Gomez","Letras sin formato Letras sincronizadas"
"27","Belinda","1","Belinda","Iyari Gomez","Letras sin formato Letras sincronizadas"
"28","Besame","1","Besame","Iyari Gomez","Letras sin formato Letras sincronizadas"
"29","Betsy MIllan","1","Betsy MIllan","Iyari Gomez","Letras sin formato Letras sincronizadas"
"30","Beyond","1","Beyond","Iyari Gomez","Letras sin formato Letras sincronizadas"
"31","Beyond the orbit","1","Beyond the orbit","Iyari Gomez","Letras sin formato Letras sincronizadas"
"32","Black","1","Black","Iyari Gomez","Letras sin formato Letras sincronizadas"
"33","Black Mamba","1","Black Mamba","Iyari Gomez","Letras sin formato Letras sincronizadas"
"34","BlackMamba Forever","1","BlackMamba Forever","Iyari Gomez","Letras sin formato Letras sincronizadas"
"35","BlackMamba Rise","1","BlackMamba Rise","Iyari Gomez","Letras sin formato Letras sincronizadas"
"36","Bolo","1","Bolo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"37","Bones","1","Bones","Iyari Gomez","Letras sin formato Letras sincronizadas"
"38","Broken","1","Broken","Iyari Gomez","Letras sin formato Letras sincronizadas"
"39","Bullet v","1","Bullet v","Iyari Gomez","Letras sin formato Letras sincronizadas"
"40","By the Way","1","By the Way","Iyari Gomez","Letras sin formato Letras sincronizadas"
"41","caffeine","1","caffeine","Iyari Gomez","Letras sin formato Letras sincronizadas"
"42","Caffeine Dreams","1","Caffeine Dreams","Iyari Gomez","Letras sin formato Letras sincronizadas"
"43","Calibre 22","1","Calibre 22","Iyari Gomez","Letras sin formato Letras sincronizadas"
"44","California","1","California","Iyari Gomez","Letras sin formato Letras sincronizadas"
"45","Camper","1","Camper","Iyari Gomez","Letras sin formato Letras sincronizadas"
"46","Carlos Regresa Al Camino","1","Carlos Regresa Al Camino","Iyari Gomez","Letras sin formato Letras sincronizadas"
"47","Carmesi","1","Carmesi","Iyari Gomez","Letras sin formato Letras sincronizadas"
"48","Carnaval","1","Carnaval","Iyari Gomez","Letras sin formato Letras sincronizadas"
"49","Caro","1","Caro","Iyari Gomez","Letras sin formato Letras sincronizadas"
"50","Chains","1","Chains","Iyari Gomez","Letras sin formato Letras sincronizadas"
"51","Cinthia","1","Cinthia","Iyari Gomez","Letras sin formato Letras sincronizadas"
"52","Circus Party","1","Circus Party","Iyari Gomez","Letras sin formato Letras sincronizadas"
"53","Citlali","1","Citlali","Iyari Gomez","Letras sin formato Letras sincronizadas"
"54","Clara Caccia","1","Clara Caccia","Iyari Gomez","Letras sin formato Letras sincronizadas"
"55","Constelacion","1","Dentro de mi","Iyari Gomez","Letras sin formato Letras sincronizadas"
"55","Constelacion","2","Sombra con Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"56","Cry Tonight","1","Cry Tonight","Iyari Gomez","Letras sin formato Letras sincronizadas"
"57","Cuando No Estas Cerca","1","Cuando No Estas Cerca","Iyari Gomez","Letras sin formato Letras sincronizadas"
"58","Dariana","1","Dariana","Iyari Gomez","Letras sin formato Letras sincronizadas"
"59","David Newton","1","David Newton l","Iyari Gomez","Letras sin formato Letras sincronizadas"
